33.00  ,  102.00  ,  26.00  ,  17.00  ,  28.00
34.00  ,  102.00  ,  26.00  ,  17.00  ,  27.00
34.00  ,  100.00  ,  25.00  ,  16.00  ,  27.00
34.00  ,  99.00  ,  25.00  ,  15.00  ,  27.00
34.00  ,  99.00  ,  26.00  ,  15.00  ,  27.00
32.00  ,  99.00  ,  25.00  ,  14.00  ,  26.00
32.00  ,  98.00  ,  25.00  ,  15.00  ,  26.00
31.00  ,  97.00  ,  25.00  ,  14.00  ,  25.00
31.00  ,  96.00  ,  24.00  ,  14.00  ,  25.00
31.00  ,  95.00  ,  24.00  ,  12.00  ,  26.00
31.00  ,  95.00  ,  24.00  ,  13.00  ,  25.00
32.00  ,  94.00  ,  23.00  ,  13.00  ,  24.00
31.00  ,  93.00  ,  23.00  ,  13.00  ,  24.00
31.00  ,  92.00  ,  24.00  ,  11.00  ,  24.00
29.00  ,  92.00  ,  24.00  ,  12.00  ,  23.00
29.00  ,  91.00  ,  25.00  ,  12.00  ,  23.00
29.00  ,  91.00  ,  24.00  ,  11.00  ,  23.00
29.00  ,  91.00  ,  24.00  ,  10.00  ,  22.00
28.00  ,  90.00  ,  24.00  ,  11.00  ,  22.00
28.00  ,  89.00  ,  24.00  ,  10.00  ,  22.00
28.00  ,  89.00  ,  24.00  ,  11.00  ,  22.00
27.00  ,  89.00  ,  24.00  ,  11.00  ,  23.00
27.00  ,  88.00  ,  24.00  ,  9.00  ,  21.00
28.00  ,  87.00  ,  24.00  ,  9.00  ,  21.00
27.00  ,  85.00  ,  23.00  ,  8.00  ,  20.00
27.00  ,  85.00  ,  23.00  ,  9.00  ,  21.00
27.00  ,  84.00  ,  22.00  ,  9.00  ,  21.00
27.00  ,  83.00  ,  22.00  ,  9.00  ,  21.00
26.00  ,  81.00  ,  23.00  ,  8.00  ,  20.00
26.00  ,  81.00  ,  22.00  ,  8.00  ,  20.00
26.00  ,  80.00  ,  22.00  ,  8.00  ,  20.00
26.00  ,  80.00  ,  22.00  ,  8.00  ,  19.00
26.00  ,  80.00  ,  23.00  ,  8.00  ,  19.00
26.00  ,  81.00  ,  23.00  ,  7.00  ,  19.00
26.00  ,  81.00  ,  22.00  ,  7.00  ,  19.00
26.00  ,  81.00  ,  22.00  ,  7.00  ,  18.00
25.00  ,  80.00  ,  23.00  ,  7.00  ,  18.00
25.00  ,  80.00  ,  22.00  ,  7.00  ,  18.00
25.00  ,  79.00  ,  23.00  ,  7.00  ,  19.00
25.00  ,  77.00  ,  23.00  ,  7.00  ,  18.00
25.00  ,  75.00  ,  22.00  ,  7.00  ,  18.00
24.00  ,  75.00  ,  22.00  ,  6.00  ,  18.00
25.00  ,  73.00  ,  22.00  ,  7.00  ,  18.00
25.00  ,  73.00  ,  22.00  ,  7.00  ,  18.00
25.00  ,  73.00  ,  22.00  ,  7.00  ,  18.00
24.00  ,  72.00  ,  23.00  ,  7.00  ,  18.00
24.00  ,  71.00  ,  22.00  ,  6.00  ,  17.00
24.00  ,  71.00  ,  22.00  ,  7.00  ,  17.00
24.00  ,  71.00  ,  22.00  ,  7.00  ,  17.00
25.00  ,  71.00  ,  21.00  ,  7.00  ,  17.00
25.00  ,  72.00  ,  20.00  ,  7.00  ,  17.00
25.00  ,  72.00  ,  21.00  ,  7.00  ,  17.00
25.00  ,  71.00  ,  22.00  ,  7.00  ,  17.00
24.00  ,  71.00  ,  22.00  ,  7.00  ,  17.00
25.00  ,  70.00  ,  23.00  ,  7.00  ,  17.00
24.00  ,  69.00  ,  22.00  ,  7.00  ,  16.00
24.00  ,  68.00  ,  22.00  ,  7.00  ,  16.00
24.00  ,  66.00  ,  21.00  ,  8.00  ,  16.00
24.00  ,  65.00  ,  22.00  ,  8.00  ,  16.00
24.00  ,  64.00  ,  22.00  ,  8.00  ,  15.00'
